Rooms,Type,Price,Date,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt
1,u,401500,15/07/2017,2.7,3141,1,1.0,10,,1960.0
2,u,762000,3/6/17,7.5,3040,1,1.0,195,,
2,u,800000,22/07/2017,7.9,3103,1,1.0,0,,1960.0
3,u,850000,3/6/17,10.4,3042,2,1.0,307,,
4,h,1352000,24/06/2017,12.4,3107,2,3.0,725,,
2,t,585000,15/10/2016,9.2,3146,1,1.0,84,84.0,1960.0
4,h,3295888,15/10/2016,11.2,3186,3,2.0,565,337.0,1990.0
2,u,720000,3/6/17,14.2,3149,1,1.0,198,,
3,u,1880000,3/12/16,3.3,3141,2,2.0,0,,1968.0
3,h,692500,23/04/2016,11.2,3073,2,2.0,803,,
3,u,891000,15/10/2016,8.0,3040,2,1.0,0,,
3,u,780000,25/02/2017,11.4,3084,1,2.0,239,,
2,u,2250000,29/04/2017,3.8,3207,2,2.0,0,,
1,u,492000,4/3/17,4.6,3122,1,1.0,0,63.0,1995.0
1,u,470000,26/07/2016,2.5,3067,1,1.0,0,50.0,2013.0
4,t,1742000,28/05/2016,9.0,3126,2,2.0,780,,
4,h,1635000,8/7/17,15.5,3106,3,2.0,896,215.0,1985.0
1,u,441000,27/05/2017,6.2,3123,1,0.0,0,50.0,1960.0
3,t,802000,15/07/2017,22.2,3172,2,2.0,251,185.0,1998.0
3,u,577000,23/04/2016,13.8,3018,2,1.0,205,113.0,2007.0
4,h,1715000,3/12/16,6.9,3039,2,3.0,668,,
2,h,1117000,28/08/2016,1.8,3053,1,0.0,128,92.0,1890.0
2,u,465000,25/02/2017,11.2,3073,1,1.0,111,,
3,h,1316000,17/06/2017,13.8,3165,1,1.0,636,,1958.0
2,u,610000,3/9/17,16.1,3088,1,1.0,180,,
3,t,620500,7/5/16,11.2,3073,2,1.0,158,117.0,2011.0
3,t,900500,27/11/2016,12.2,3147,2,2.0,256,134.0,2012.0
1,u,345000,16/04/2016,7.0,3013,1,1.0,0,47.0,1970.0
3,t,1250000,10/9/16,11.8,3204,2,2.0,326,188.0,2000.0
2,u,655000,8/4/17,4.6,3142,1,1.0,1816,105.0,1960.0
3,h,915000,11/3/17,12.8,3033,1,2.0,610,,
4,h,887500,29/07/2017,16.1,3088,2,2.0,737,,
4,h,930000,8/7/17,24.7,3175,2,1.0,830,200.0,1980.0
2,u,905000,15/10/2016,10.7,3187,1,2.0,189,93.0,1980.0
3,u,542000,1/7/17,15.3,3074,2,2.0,213,,
2,u,430000,7/11/16,4.6,3122,1,1.0,1997,,
3,h,720000,4/3/17,10.5,3081,1,0.0,505,,
3,u,488000,13/05/2017,12.4,3083,1,1.0,260,150.0,1961.0
2,t,915500,27/11/2016,13.7,3188,2,1.0,0,148.0,
1,u,380000,29/07/2017,6.3,3143,1,1.0,0,,1960.0
2,u,405000,7/5/16,11.2,3073,1,1.0,171,94.0,2009.0
2,u,546500,3/12/16,10.6,3084,1,1.0,132,69.0,1972.0
2,u,587500,16/07/2016,4.6,3122,1,1.0,1099,72.0,1965.0
2,t,610000,1/7/17,11.2,3046,1,1.0,182,112.0,2015.0
1,u,342000,10/9/16,2.6,3121,1,1.0,0,1.0,1970.0
2,u,830000,4/6/16,9.0,3126,1,1.0,110,83.0,1960.0
3,h,1975000,17/06/2017,7.3,3102,2,4.0,677,,
3,h,867000,29/07/2017,15.3,3074,1,3.0,819,,
3,h,1837000,6/8/16,11.2,3145,2,1.0,769,196.0,1920.0
2,h,883000,27/05/2017,17.2,3132,1,1.0,697,,1960.0
3,h,825000,8/10/16,7.8,3058,1,1.0,374,118.0,1910.0
3,h,855000,6/8/16,7.7,3015,1,1.0,326,112.0,1991.0
2,t,930000,3/9/16,3.5,3068,3,0.0,2778,3558.0,
3,h,1124000,27/06/2016,14.0,3166,1,1.0,685,,
2,h,399000,7/5/16,8.7,3032,1,1.0,904,53.0,1985.0
3,h,1588000,19/08/2017,10.4,3125,2,2.0,708,,
3,t,800000,12/11/16,5.6,3101,2,2.0,848,97.0,1970.0
4,t,1200000,29/07/2017,16.0,3190,2,2.0,304,183.0,2007.0
2,u,487500,8/10/16,6.1,3182,1,2.0,1676,,
2,u,430000,28/08/2016,11.2,3073,1,1.0,152,,
7,h,1205000,15/10/2016,5.9,3055,3,1.0,447,287.0,1982.0
1,u,330000,22/05/2016,5.9,3055,1,1.0,0,42.0,1970.0
4,h,5020000,20/05/2017,7.8,3124,4,3.0,892,,
3,t,1962000,14/05/2016,11.2,3186,2,2.0,323,,1995.0
2,u,476000,6/8/16,11.5,3046,1,1.0,189,85.0,1995.0
3,h,785000,7/11/16,7.9,3079,2,0.0,399,110.0,1950.0
3,u,900000,6/8/16,11.8,3204,1,1.0,265,91.0,1990.0
2,h,2210000,3/6/17,2.7,3141,2,1.0,187,133.0,1890.0
3,h,1340000,27/11/2016,5.2,3056,1,1.0,316,132.0,1910.0
3,u,485000,29/07/2017,18.0,3037,2,2.0,345,,2005.0
5,h,605000,10/12/16,13.3,3020,2,2.0,661,133.0,1960.0
3,h,485000,12/11/16,13.5,3020,4,2.0,482,166.0,1955.0
3,t,940000,14/05/2016,7.7,3184,1,1.0,0,,
3,u,590000,24/06/2017,31.2,3197,1,1.0,179,,
2,u,622500,22/05/2016,1.2,3006,2,1.0,2955,67.0,2013.0
2,u,600000,24/09/2016,7.7,3184,1,1.0,0,75.0,1960.0
2,u,465000,4/6/16,6.1,3182,1,1.0,0,,1960.0
2,h,2400000,12/11/16,3.2,3054,2,0.0,413,172.0,1900.0
3,t,920000,15/07/2017,16.1,3111,2,2.0,239,187.0,2007.0
2,u,512000,10/9/16,2.6,3121,1,1.0,0,61.0,1970.0
3,h,1241000,28/08/2016,13.9,3165,1,1.0,643,,
2,u,690000,23/04/2016,1.2,3006,3,1.0,0,,2013.0
4,h,1408000,23/09/2017,14.2,3149,2,2.0,692,179.0,1970.0
4,h,1950000,28/05/2016,5.5,3070,2,1.0,489,140.0,1910.0
4,h,2840000,10/9/16,10.7,3187,2,2.0,999,274.0,1972.0
2,h,1130000,22/08/2016,7.8,3058,1,2.0,520,,
3,h,1225000,12/11/16,14.0,3166,1,2.0,553,,
3,h,1200000,16/07/2016,2.5,3067,2,1.0,113,110.0,1880.0
1,u,375000,17/06/2017,5.3,3122,1,1.0,0,53.0,1970.0
2,t,801000,25/02/2017,5.2,3056,2,1.0,156,87.0,2007.0
1,u,324000,16/04/2016,6.3,3143,1,1.0,0,,
3,u,700000,13/05/2017,9.2,3104,1,1.0,350,120.0,1950.0
2,u,724000,22/07/2017,27.0,3196,1,2.0,224,104.0,2000.0
4,h,410500,24/06/2017,47.3,3810,2,2.0,425,,
2,h,815000,30/07/2016,6.6,3011,1,0.0,172,81.0,1900.0
4,h,1387000,24/06/2017,14.2,3149,2,4.0,691,,
4,h,807000,15/07/2017,45.9,3437,2,3.0,40468,,
3,u,648000,29/04/2017,11.5,3046,1,1.0,0,94.0,1998.0
2,u,424000,18/06/2016,11.2,3073,1,1.0,141,81.0,1980.0
1,u,490000,10/12/16,3.3,3141,1,1.0,0,,
4,h,1630000,13/05/2017,10.7,3187,2,1.0,596,,
1,u,360000,13/05/2017,7.7,3184,1,0.0,0,39.5,1959.0
4,h,1430000,22/05/2016,5.9,3032,2,0.0,418,158.0,1900.0
4,h,2000000,12/8/17,10.3,3187,2,2.0,619,,
2,h,1102000,12/11/16,11.2,3186,1,2.0,318,,
5,h,1205000,27/05/2017,15.4,3131,3,2.0,477,,
3,h,1417250,4/2/16,14.6,3189,2,2.0,653,180.0,1950.0
4,h,773000,30/07/2016,9.2,3012,1,2.0,333,137.0,1970.0
2,h,1116000,3/9/16,3.5,3068,1,0.0,152,,
3,u,602500,16/07/2016,11.4,3163,1,2.0,0,,
1,u,330000,22/04/2017,11.4,3163,1,1.0,0,46.0,1960.0
2,t,771000,8/7/17,13.8,3188,1,1.0,0,99.0,1992.0
3,t,500000,27/05/2017,16.5,3049,1,2.0,141,,2012.0
3,h,1510000,8/7/17,7.8,3079,1,2.0,670,,
3,h,1250000,12/8/17,8.9,3084,1,0.0,668,,
4,h,1660000,29/07/2017,15.2,3191,2,2.0,390,235.0,2004.0
2,h,680000,27/06/2016,11.2,3073,1,1.0,750,92.0,1960.0
2,u,546000,8/4/17,8.9,3016,1,1.0,2023,,1979.0
2,u,655000,15/07/2017,14.5,3087,1,1.0,298,98.0,1975.0
2,h,1202500,24/09/2016,3.5,3121,1,1.0,149,77.0,1900.0
3,t,1715000,28/08/2016,3.3,3141,2,2.0,0,,
2,u,825000,8/10/16,12.1,3163,1,1.0,0,86.0,
2,u,585000,8/4/17,5.1,3181,1,1.0,0,79.0,1965.0
4,h,2620000,28/08/2016,13.0,3204,4,2.0,579,361.0,2012.0
4,h,1325000,17/09/2016,13.8,3107,3,2.0,740,,
3,h,983000,18/03/2017,9.9,3044,1,2.0,650,,
3,h,1540000,12/8/17,3.5,3054,2,1.0,288,,
2,u,457000,4/6/16,11.2,3042,1,1.0,0,89.0,1975.0
3,u,1042000,27/05/2017,10.1,3163,2,2.0,0,122.0,2008.0
3,u,420000,22/07/2017,17.4,3048,1,1.0,658,94.0,1990.0
4,h,1131000,8/10/16,7.8,3058,2,2.0,494,300.0,2001.0
2,u,807000,27/11/2016,2.6,3121,2,2.0,0,106.0,2000.0
2,u,490000,29/04/2017,9.3,3162,1,1.0,0,61.0,1960.0
4,h,865000,3/12/16,11.5,3046,1,2.0,696,160.0,1955.0
4,h,732000,24/06/2017,27.0,3196,2,2.0,536,202.0,1985.0
2,u,495000,13/08/2016,3.4,3068,1,1.0,515,50.0,1970.0
3,t,752000,8/4/17,5.6,3101,2,2.0,0,102.0,1980.0
2,u,872000,28/05/2016,1.5,3002,0,0.0,0,,
4,h,810000,10/9/16,8.8,3072,2,2.0,1034,151.0,1950.0
1,u,435000,10/9/16,5.5,3070,1,2.0,0,55.0,1970.0
3,u,1160000,27/05/2017,10.1,3163,2,2.0,441,,
2,h,765000,10/12/16,4.2,3031,1,2.0,158,76.0,1965.0
1,u,407000,20/05/2017,11.2,3073,1,1.0,108,,
3,h,1200000,20/05/2017,6.5,3071,1,1.0,447,,
1,u,500500,4/3/17,4.5,3181,1,1.0,0,64.0,1945.0
3,t,1990000,22/04/2017,11.2,3186,2,2.0,0,189.0,1935.0
2,u,465000,13/05/2017,8.0,3016,1,1.0,0,78.0,1970.0
2,t,625000,19/08/2017,16.1,3088,2,1.0,189,,
2,u,520000,27/06/2016,6.3,3143,1,1.0,0,76.0,1970.0
5,h,1475000,8/7/17,12.3,3166,2,3.0,548,157.0,1920.0
5,h,660000,1/7/17,19.6,3076,3,2.0,708,,
3,h,1360000,19/11/2016,11.4,3163,2,2.0,282,182.0,2010.0
1,u,430000,25/02/2017,7.5,3123,1,1.0,2276,58.0,1950.0
2,u,620000,3/9/16,7.5,3102,1,1.0,0,,1970.0
3,h,490000,29/07/2017,20.6,3064,2,2.0,400,143.0,1996.0
2,u,602000,28/08/2016,3.5,3068,1,1.0,0,48.0,1980.0
3,h,1121000,22/08/2016,5.5,3070,1,0.0,0,,
4,h,1610000,18/06/2016,11.4,3084,1,4.0,1613,,
3,h,710000,15/07/2017,12.1,3083,1,1.0,540,142.0,1968.0
4,h,677000,27/05/2017,18.0,3037,2,2.0,661,196.0,1999.0
3,t,775000,28/05/2016,3.5,3068,2,2.0,0,,
3,t,840000,15/10/2016,11.2,3042,2,2.0,374,180.0,1990.0
3,t,705000,11/2/17,13.8,3018,2,2.0,197,152.0,
2,u,485000,14/05/2016,8.8,3072,1,1.0,117,73.0,1965.0
3,h,1290000,28/08/2016,8.0,3040,1,1.0,618,132.0,1960.0
1,u,545000,27/05/2017,3.5,3207,1,1.0,0,,2000.0
3,t,1235000,18/03/2017,13.0,3204,2,2.0,0,160.0,2012.0
2,u,632000,20/05/2017,4.5,3057,1,2.0,65,,1960.0
2,h,855000,26/07/2016,9.9,3044,1,2.0,659,,
2,u,501000,27/05/2017,7.3,3146,1,1.0,0,,
4,t,710000,8/7/17,11.7,3033,2,1.0,330,,
1,u,390000,14/05/2016,6.3,3143,1,0.0,881,,
3,h,582000,8/10/16,14.9,3087,1,0.0,302,90.0,1950.0
3,u,560000,25/02/2017,13.9,3020,2,7.0,420,150.0,1970.0
3,h,595000,26/08/2017,19.6,3076,1,2.0,536,0.0,1980.0
1,u,310000,1/7/17,7.5,3040,1,1.0,0,,
2,u,856500,19/11/2016,9.2,3146,1,1.0,0,,1960.0
2,u,479000,4/3/17,2.6,3121,1,1.0,0,62.0,1970.0
2,h,1114000,3/6/17,12.3,3166,1,1.0,703,90.0,1960.0
5,h,2000000,15/10/2016,9.2,3104,2,2.0,1002,244.0,1950.0
3,h,1851000,19/11/2016,3.5,3068,1,1.0,225,,
2,u,442000,27/06/2016,13.0,3046,1,1.0,245,,
3,h,1631000,15/10/2016,12.2,3147,2,3.0,782,215.0,1950.0
3,u,700000,4/6/16,13.6,3148,2,1.0,224,94.0,2006.0
4,h,688000,22/07/2017,15.5,3038,2,1.0,645,,
3,h,1900000,6/8/16,11.2,3186,0,0.0,0,,
3,h,3401000,27/11/2016,9.7,3103,2,1.0,706,166.0,1930.0
2,u,760000,27/11/2016,2.6,3121,1,1.0,0,,
4,h,930000,4/6/16,9.1,3015,1,3.0,669,143.0,1950.0
2,u,595000,7/11/16,2.1,3205,1,1.0,0,76.0,2004.0
3,t,820000,17/06/2017,12.3,3166,2,1.0,200,130.0,2013.0
4,h,1410000,27/06/2016,11.7,3125,2,3.0,739,182.0,1970.0
2,t,595000,8/7/17,11.2,3046,2,1.0,201,111.0,2005.0
2,u,445000,27/06/2016,4.5,3057,1,1.0,0,,
3,t,865000,13/05/2017,6.5,3071,2,2.0,194,,2000.0
3,h,1222500,4/2/16,13.0,3204,2,2.0,299,181.0,2000.0
3,h,1560000,24/09/2016,11.2,3127,2,1.0,335,209.0,2013.0
3,t,980000,25/02/2017,5.5,3070,2,2.0,195,,
4,t,1680000,12/8/17,7.9,3103,2,1.0,254,172.0,1995.0
3,h,1435000,12/11/16,5.9,3032,2,2.0,532,147.0,1950.0
2,u,888000,29/04/2017,4.5,3181,1,1.0,0,,
4,h,1302000,17/06/2017,17.2,3132,1,1.0,842,160.0,1950.0
1,u,320000,19/08/2017,4.0,3057,1,1.0,682,34.0,1980.0
3,h,1355000,12/11/16,12.1,3163,1,6.0,612,,
3,h,1337000,8/10/16,11.0,3147,1,2.0,583,112.0,1950.0
4,h,920000,19/08/2017,12.0,3073,2,2.0,743,,
3,h,980000,8/10/16,12.4,3083,1,1.0,907,165.0,1960.0
4,h,976000,18/06/2016,11.8,3105,1,1.0,701,,
2,u,800000,7/5/16,5.1,3181,1,1.0,0,92.0,1930.0
2,u,592500,10/12/16,6.3,3143,1,1.0,0,73.0,1970.0
2,u,820000,3/9/17,6.3,3143,1,1.0,1501,,
2,u,400000,6/8/16,5.2,3056,1,1.0,0,61.0,1970.0
3,u,810000,15/10/2016,13.7,3188,1,1.0,195,115.0,1960.0
3,h,560000,22/07/2017,16.3,3075,1,2.0,535,104.0,1970.0
4,t,975000,3/6/17,17.2,3133,2,2.0,0,207.0,2008.0
3,h,591500,30/07/2016,12.6,3020,1,2.0,427,,
2,t,751000,24/09/2016,8.5,3185,2,1.0,0,,
2,u,1100000,28/05/2016,6.1,3182,1,2.0,1458,141.0,1920.0
3,h,1502000,15/07/2017,3.6,3068,1,0.0,179,,
3,h,865000,24/06/2017,18.8,3170,1,2.0,739,126.0,1965.0
2,u,602000,3/6/17,10.1,3163,1,1.0,1166,,
3,u,660000,27/05/2017,5.4,3101,1,1.0,1096,,
3,h,695000,27/06/2016,12.8,3033,1,3.0,0,,
3,h,1000000,8/7/17,6.2,3015,1,2.0,366,,
3,u,1000000,1/7/17,5.3,3122,1,1.0,1079,90.0,1940.0
1,u,452000,10/12/16,9.2,3146,1,1.0,63,52.0,1980.0
2,h,435000,6/8/16,13.3,3020,1,4.0,343,81.0,1960.0
2,t,1200000,6/5/17,6.3,3143,2,1.0,189,,
3,h,583000,10/9/16,12.8,3033,1,1.0,412,133.0,2003.0
2,h,695000,17/06/2017,11.4,3204,1,1.0,126,75.45,1970.0
2,u,592000,4/3/17,5.5,3070,1,2.0,0,,
1,u,523000,17/09/2016,3.3,3141,1,0.0,0,,1940.0
2,u,434000,10/9/16,7.8,3058,1,1.0,0,80.0,1965.0
2,u,472000,22/07/2017,12.3,3166,1,1.0,0,70.0,1970.0
1,u,549800,3/12/16,4.5,3181,1,1.0,0,51.0,2012.0
1,t,715000,27/05/2017,3.4,3031,1,0.0,91,,2006.0
3,u,1330000,27/05/2017,7.3,3146,2,2.0,296,,
2,u,630000,3/6/17,5.4,3101,1,1.0,1037,,1960.0
3,t,1460000,10/12/16,8.0,3016,2,2.0,506,180.0,2010.0
2,u,615000,17/06/2017,5.0,3182,1,1.0,1123,84.0,1920.0
1,u,241000,11/2/17,8.2,3012,1,1.0,0,99.0,
2,u,480000,19/11/2016,11.2,3073,2,1.0,145,145.0,2010.0
4,h,2408000,27/05/2017,8.4,3126,2,2.0,654,221.0,1945.0
2,u,795000,10/12/16,1.8,3053,2,1.0,0,,
3,t,890500,15/10/2016,6.9,3039,2,1.0,213,,1950.0
3,h,897000,11/2/17,8.0,3040,1,2.0,226,,2000.0
2,u,420000,13/05/2017,13.9,3020,1,1.0,192,88.0,1970.0
3,u,1352500,28/08/2016,11.2,3186,2,1.0,280,110.0,1993.0
3,h,1150000,26/07/2016,8.0,3040,1,0.0,300,145.0,1900.0
4,h,1870000,12/8/17,5.1,3011,2,2.0,457,,
2,u,680500,25/02/2017,3.3,3141,1,1.0,0,70.0,1970.0
3,h,721000,8/10/16,13.0,3046,1,2.0,674,,1976.0
4,h,657000,25/02/2017,13.5,3020,2,4.0,651,178.0,1975.0
5,h,1775000,29/04/2017,13.8,3107,4,2.0,501,,
3,h,695000,29/07/2017,22.7,3174,1,1.0,671,142.0,1950.0
3,t,955000,27/05/2017,13.8,3165,2,2.0,225,,
3,t,920000,29/07/2017,14.3,3189,2,2.0,230,,
2,h,683000,29/07/2017,4.0,3057,1,1.0,0,91.0,1970.0
3,h,837000,23/09/2017,27.0,3196,1,1.0,441,,
3,h,1335000,30/07/2016,4.5,3057,1,2.0,308,113.0,1930.0
1,u,492000,4/3/17,4.5,3181,1,1.0,1768,45.0,1888.0
4,t,886000,10/12/16,12.8,3033,3,1.0,322,257.0,1950.0
2,h,1601000,15/07/2017,7.8,3079,1,2.0,697,,
3,u,815000,30/07/2016,11.2,3042,2,2.0,203,,
2,u,735000,23/04/2016,9.2,3104,1,1.0,1075,,1970.0
3,h,984000,29/04/2017,15.0,3085,2,2.0,552,,
3,t,1011000,3/6/17,14.2,3149,2,2.0,297,135.0,2001.0
1,u,345000,7/11/16,2.6,3121,1,0.0,0,,1970.0
3,t,730000,7/11/16,8.7,3032,1,2.0,250,132.0,2000.0
3,h,950000,3/9/17,16.7,3150,2,3.0,654,,
2,u,540000,3/12/16,2.3,3051,1,1.0,0,65.0,1970.0
2,u,569000,11/3/17,1.2,3006,2,1.0,3878,,2012.0
3,h,1127000,6/8/16,11.8,3105,1,2.0,631,,
3,h,726000,15/07/2017,17.9,3082,2,2.0,615,132.0,1982.0
2,u,1350000,12/8/17,2.7,3141,2,1.0,0,109.0,1930.0
4,h,870000,29/07/2017,35.4,3198,2,2.0,771,160.0,1965.0
3,h,1015000,13/05/2017,8.8,3072,2,1.0,511,,
2,h,1020000,16/04/2016,5.5,3070,1,1.0,354,97.0,1920.0
2,u,340000,12/11/16,13.0,3046,1,1.0,0,74.0,1970.0
3,h,1450000,20/05/2017,5.2,3056,1,2.0,304,,
3,h,785000,14/05/2016,11.2,3042,1,2.0,620,,
1,u,421500,3/12/16,6.3,3143,1,0.0,0,,
2,u,390000,1/7/17,25.5,3750,1,1.0,197,,
2,u,670000,26/08/2017,16.1,3088,1,1.0,704,,1957.0
3,h,1875000,13/08/2016,11.2,3186,2,2.0,275,170.0,1991.0
3,h,2375000,25/02/2017,11.2,3186,2,2.0,470,,
2,u,715000,26/07/2016,1.6,3065,1,1.0,0,74.0,1900.0
2,t,797000,20/05/2017,9.2,3146,1,2.0,97,,1970.0
2,u,782000,4/3/17,7.0,3013,1,1.0,1555,92.0,2013.0
3,t,1000000,27/11/2016,5.9,3032,2,2.0,200,144.0,2003.0
4,h,635000,19/08/2017,18.4,3029,2,2.0,512,,
3,h,775000,12/8/17,45.9,3437,2,4.0,1290,231.0,1988.0
3,h,485000,16/04/2016,13.6,3043,2,1.0,175,134.0,2004.0
2,u,593000,3/9/16,2.1,3205,2,1.0,0,83.0,2012.0
3,h,1665000,1/7/17,3.5,3207,3,2.0,121,,
4,h,845000,4/6/16,12.8,3033,1,1.0,622,126.0,1965.0
2,u,566000,18/06/2016,8.7,3032,2,1.0,3014,80.0,2012.0
5,h,1285000,19/08/2017,16.7,3150,2,1.0,651,124.0,1970.0
3,h,815000,12/8/17,16.1,3088,2,2.0,609,168.0,1980.0
3,h,1160000,8/10/16,10.4,3163,1,2.0,553,137.0,1930.0
3,u,1320000,6/5/17,3.3,3141,2,2.0,15,15.0,
2,h,611000,8/10/16,11.2,3073,1,2.0,379,,
2,h,951000,25/02/2017,7.0,3013,1,3.0,486,,
4,h,2620000,18/06/2016,4.6,3142,2,2.0,516,286.0,1925.0
2,u,503000,10/12/16,5.3,3032,1,1.0,0,,1960.0
3,u,1045000,4/3/17,12.2,3147,2,2.0,467,,
2,h,715000,15/10/2016,13.3,3020,1,2.0,588,,
2,u,590000,20/05/2017,7.8,3058,1,1.0,79,,
2,u,520000,17/06/2017,23.2,3153,1,1.0,418,76.0,1970.0
3,h,760000,29/07/2017,24.8,3156,1,3.0,984,,
4,h,1615000,8/4/17,14.0,3166,2,2.0,537,199.0,1920.0
3,t,420000,9/9/17,25.5,3750,2,2.0,167,,
3,h,899000,10/9/16,13.9,3165,1,1.0,583,,
3,u,940000,12/8/17,2.7,3141,2,3.0,0,20.0,
2,h,903000,22/04/2017,4.2,3031,1,0.0,184,,
3,u,897000,3/6/17,10.5,3186,1,1.0,164,,1970.0
4,h,975000,3/12/16,9.9,3044,1,1.0,733,159.0,1960.0
2,u,606000,12/11/16,8.0,3040,1,2.0,0,93.0,1972.0
1,u,422000,3/6/17,0.7,3006,1,1.0,63,51.0,2010.0
2,u,546000,8/10/16,2.5,3121,1,1.0,0,,1980.0
3,h,560000,22/07/2017,24.7,3175,1,2.0,630,,
3,h,840000,6/8/16,8.8,3072,1,2.0,647,,
3,u,501000,12/11/16,14.5,3042,1,1.0,255,132.0,1991.0
3,t,714000,10/12/16,6.4,3011,2,2.0,164,3.0,2008.0
3,t,865000,25/02/2017,11.2,3127,1,1.0,217,101.0,1970.0
3,h,412500,26/08/2017,20.6,3064,2,1.0,197,0.0,2012.0
4,t,970000,17/06/2017,7.5,3040,2,2.0,0,142.0,2003.0
3,h,725000,3/6/17,8.4,3072,1,2.0,590,94.0,1950.0
2,u,420000,15/07/2017,7.5,3040,1,1.0,0,,
2,h,1400000,25/02/2017,3.8,3207,1,1.0,168,102.0,1934.0
2,u,452000,7/5/16,9.9,3044,1,1.0,159,87.0,1990.0
2,h,1008000,24/09/2016,7.8,3058,1,3.0,457,89.0,1940.0
3,t,892000,30/07/2016,4.5,3057,2,1.0,0,,1995.0
3,t,850000,20/05/2017,13.9,3165,2,2.0,321,,
4,h,621000,16/07/2016,13.5,3020,1,1.0,700,130.0,1950.0
2,u,558000,22/08/2016,7.8,3124,1,1.0,0,,
2,u,835000,18/06/2016,11.2,3145,1,1.0,0,118.0,1930.0
1,u,430000,3/9/16,3.3,3141,1,1.0,0,,1970.0
3,t,955000,11/2/17,5.2,3056,2,2.0,327,110.0,2007.0
4,h,930000,17/06/2017,12.0,3073,1,5.0,700,,
3,u,660000,12/8/17,11.0,3018,1,2.0,211,,
2,u,852000,22/04/2017,6.3,3143,1,1.0,869,74.0,1980.0
4,h,790000,27/11/2016,10.5,3034,2,2.0,570,,
2,h,1389000,22/05/2016,9.2,3104,1,4.0,701,,
3,t,881000,19/08/2017,20.0,3194,2,1.0,332,,
3,h,830000,3/9/17,11.2,3046,1,2.0,655,110.0,1960.0
2,t,431000,8/4/17,8.7,3032,1,1.0,0,,
2,u,592000,29/07/2017,13.8,3165,1,1.0,121,,
2,u,505000,29/04/2017,11.2,3073,1,1.0,110,1.0,1960.0
2,u,560000,25/02/2017,2.3,3051,1,1.0,2300,68.0,1975.0
3,u,645000,4/3/17,11.2,3073,1,2.0,280,,2002.0
2,u,712000,26/07/2016,2.6,3121,1,1.0,0,,2012.0
3,u,537000,29/07/2017,39.0,3807,1,1.0,460,,
3,t,1007000,12/8/17,5.4,3101,2,1.0,0,114.0,1977.0
2,u,490000,7/11/16,7.5,3123,1,1.0,0,,
3,t,2400000,10/9/16,4.6,3142,3,2.0,425,,1998.0
3,h,794000,25/02/2017,12.6,3020,1,0.0,426,,
2,u,620000,28/05/2016,1.9,3003,1,1.0,0,83.0,2002.0
2,t,731000,22/07/2017,12.4,3107,1,1.0,217,115.0,2005.0
2,u,855000,12/11/16,13.0,3204,2,3.0,226,475.0,2005.0
3,h,951000,12/8/17,21.5,3195,2,2.0,553,,
3,t,960000,27/05/2017,16.2,3094,2,2.0,397,,2003.0
3,t,1052000,20/05/2017,2.6,3121,1,2.0,0,100.0,2010.0
2,h,550000,4/3/17,7.8,3058,1,1.0,0,,
3,u,537000,14/05/2016,14.9,3087,1,2.0,327,95.0,1960.0
3,u,945000,23/09/2017,17.3,3193,2,2.0,749,,1980.0
